objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
img_042074,img_042074.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.50,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042075,img_042075.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.50,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042076,img_042076.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.50,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042077,img_042077.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.50,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042078,img_042078.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.5,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042079,img_042079.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.5,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042080,img_042080.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.5,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042081,img_042081.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.5,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042082,img_042082.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.5,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042083,img_042083.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.5,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042084,img_042084.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.5,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042085,img_042085.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.5,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042086,img_042086.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.5,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042087,img_042087.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.5,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042088,img_042088.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.5,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042089,img_042089.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.5,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
img_042090,img_042090.jpg,,Sperrgebiet,Edda Schoedder,1980-01-01,Landscape pictures of mountains and planes in the Sperrgebiet,,,-27.37,16.5,Schoedder Collection,,Image;StillImage,image/jpeg,eng,Namibia Institute of Architects,http://dna.nust.na/copyright.html
